wavelength,energy,0_absorption,3_absorption,5_absorption,0_abs_diff,3_abs_diff,5_abs_diff
220.0,5.636363636363637,0.10473535052001304,0.135404170286465,0.11394335230683672,0.0,0.03066881976645197,0.009208001786823683
224.0,5.535714285714286,0.10473535052001304,0.10473535052001304,0.14612803567823818,0.0,0.0,0.04139268515822514
228.0,5.43859649122807,0.10473535052001304,0.13517295349885838,0.14612803567823818,0.0,0.030437602978845346,0.04139268515822514
232.0,5.344827586206897,0.13517295349885838,0.13517295349885838,0.1765656386570833,0.0,0.0,0.04139268515822492
236.0,5.254237288135593,0.18947483334344706,0.21427517225449844,0.23086751850167198,0.0,0.02480033891105138,0.04139268515822492
240.0,5.166666666666667,0.25999314377589045,0.28116550501380644,0.3225581901720316,0.0,0.021172361237915993,0.06256504639614113
244.0,5.081967213114754,0.36115056943479606,0.373854406585856,0.4235144543299709,0.0,0.012703837151059938,0.06236388489517486
248.0,5.0,0.4902955808791194,0.5151075367515183,0.5595043687635974,0.0,0.024811955872398928,0.06920878788447804
252.0,4.920634920634921,0.649093892862326,0.6664566005135231,0.7162770874080624,0.0,0.017362707651197073,0.0671831945457364
256.0,4.84375,0.7829452434153084,0.8019132914603677,0.8117937753513345,0.0,0.01896804804505936,0.0288485319360261
260.0,4.769230769230769,0.9197440113714557,0.9384257042174411,0.9470020550946094,0.0,0.01868169284598542,0.02725804372315377
264.0,4.696969696969697,0.9991434579627734,1.015146454342637,1.0278311181255273,0.0,0.016002996379863577,0.028687660162753925
268.0,4.626865671641791,1.0332402199523116,1.0478274745011646,1.052888034791811,0.0,0.014587254548853013,0.0196478148394994
272.0,4.5588235294117645,0.8975577908224499,0.9014578749300732,0.9158397292387668,0.0,0.003900084107623325,0.018281938416316867
276.0,4.492753623188406,0.7999569322022178,0.8001117107134057,0.8076701399026973,0.0,0.0001547785111879474,0.007713207700479563
280.0,4.428571428571429,0.7626367220068007,0.7664816638846674,0.7729081416222408,0.0,0.00384494187786677,0.010271419615440092
284.0,4.366197183098592,0.7335921949093516,0.7368115413327114,0.7407923931434621,0.0,0.003219346423359859,0.007200198234110555
288.0,4.305555555555555,0.701273507963798,0.7009538184561743,0.7041625571980121,0.0,-0.0003196895076236217,0.0028890492342141805
292.0,4.2465753424657535,0.6629918009742426,0.6640026941867947,0.6662234558870115,0.0,0.0010108932125520997,0.0032316549127688887
296.0,4.1891891891891895,0.6215512226989104,0.6219783480667238,0.6256057984821779,0.0,0.00042712536781341903,0.004054575783267511
300.0,4.133333333333334,0.5802358585841312,0.5799272893558023,0.5831163096798286,0.0,-0.0003085692283288921,0.002880451095697456
304.0,4.078947368421052,0.5376604995258605,0.5378087563260114,0.5395815520203662,0.0,0.00014825680015095877,0.0019210524945056928
308.0,4.025974025974026,0.49426792567755395,0.49660690953699804,0.49777100710306876,0.0,0.002338983859444088,0.003503081425514809
312.0,3.9743589743589745,0.44797668282289926,0.44953170695573386,0.4534136099391368,0.0,0.0015550241328345926,0.005436927116237555
316.0,3.9240506329113924,0.4152138571440087,0.41494371478779857,0.4179245525201791,0.0,-0.0002701423562101457,0.0027106953761704133
320.0,3.875,0.37828959799155326,0.3778124016815918,0.3809715338688755,0.0,-0.00047719630996145845,0.002681935877322239
324.0,3.8271604938271606,0.34478934365947556,0.34515244536698586,0.34775171342966527,0.0,0.0003631017075103049,0.00296236977018971
328.0,3.7804878048780486,0.31464249644138986,0.3152192978793713,0.3176849998642848,0.0,0.0005768014379814446,0.0030425034228949155
332.0,3.7349397590361444,0.2887441759534135,0.28809622417088754,0.29225935542106396,0.0,-0.0006479517825259684,0.0035151794676504533
336.0,3.6904761904761907,0.26467728484780584,0.2653640274754532,0.2682962033337204,0.0,0.000686742627647341,0.0036189184859145573
340.0,3.6470588235294117,0.24211050148844881,0.24285493520670176,0.24683725713439064,0.0,0.0007444337182529459,0.004726755645941827
344.0,3.604651162790698,0.22206872609176287,0.22322970151515542,0.22613814036514546,0.0,0.0011609754233925518,0.004069414273382588
348.0,3.5632183908045976,0.20598808456531503,0.20627493452697743,0.2091131514625899,0.0,0.0002868499616623943,0.003125066897274875
352.0,3.522727272727273,0.18963503888977185,0.1900482119074436,0.19259660422981417,0.0,0.00041317301767174186,0.002961565340042327
356.0,3.4831460674157304,0.1734789229937299,0.17534124845022125,0.1778723187645197,0.0,0.0018623254564913427,0.0043933957707897875
360.0,3.4444444444444446,0.16198321043832808,0.16258200422296976,0.1641806732187976,0.0,0.0005987937846416713,0.0021974627804695057
364.0,3.4065934065934065,0.14998688541368965,0.15100387145219685,0.15275253156377966,0.0,0.001016986038507195,0.0027656461500900065
368.0,3.369565217391304,0.1393886043686292,0.14009854670732813,0.14300547531966679,0.0,0.0007099423386989212,0.0036168709510375763
372.0,3.3333333333333335,0.12945693320506102,0.13070058497347992,0.1325453030314474,0.0,0.0012436517684188964,0.0030883698263863835
376.0,3.297872340425532,0.12084875972518727,0.12240380280745478,0.12396255550049928,0.0,0.0015550430822675043,0.0031137957753120116
380.0,3.263157894736842,0.11483235640777689,0.11529159083087293,0.1166520226628951,0.0,0.00045923442309603324,0.001819666255118202
384.0,3.2291666666666665,0.10807313806990448,0.10879197961892273,0.11094127438619172,0.0,0.0007188415490182454,0.0028681363162872398
388.0,3.195876288659794,0.10235911633557793,0.10240553796336105,0.10456254183853808,0.0,4.642162778312198e-05,0.0022034255029601546
392.0,3.163265306122449,0.09691363060176728,0.0972980636416203,0.09855581162287241,0.0,0.0003844330398530271,0.001642181021105138
396.0,3.1313131313131315,0.09151311686339558,0.09216286914922511,0.09355093970233286,0.0,0.0006497522858295302,0.0020378228389372754
400.0,3.1,0.08702641129555144,0.08766944826940914,0.08897001937300764,0.0,0.0006430369738577024,0.0019436080774561937
404.0,3.0693069306930694,0.08292598489519154,0.08352008513173148,0.08596848593555828,0.0,0.0005941002365399406,0.0030425010403667407
408.0,3.0392156862745097,0.07973635398150791,0.08071770890205943,0.08278359382825373,0.0,0.0009813549205515137,0.0030472398467458195
412.0,3.0097087378640777,0.07764116398344711,0.07748863728314848,0.08000420634636951,0.0,-0.00015252670029863857,0.0023630423629223962
416.0,2.980769230769231,0.07439072021695914,0.0743038347596352,0.07684060933124348,0.0,-8.688545732393749e-05,0.0024498891142843426
420.0,2.9523809523809526,0.07196282906465323,0.07201832256175011,0.07346800193342773,0.0,5.549349709688123e-05,0.0015051728687744959
424.0,2.9245283018867925,0.06971183394788794,0.06997445397367441,0.07185327412872033,0.0,0.00026262002578647525,0.002141440180832399
428.0,2.897196261682243,0.06727059578124539,0.06837227347242014,0.06850510782121644,0.0,0.0011016776911747517,0.0012345120399710474
432.0,2.8703703703703702,0.06599976337304159,0.06564048448077675,0.06852306091497273,0.0,-0.000359278892264836,0.0025232975419311465
436.0,2.8440366972477062,0.06482103849070531,0.06472957350156006,0.06577294901896025,0.0,-9.146498914525125e-05,0.00095191052825494
440.0,2.8181818181818183,0.062115882361045927,0.06266743009220344,0.06442647276479074,0.0,0.000551547731157509,0.0023105904037448166
444.0,2.7927927927927927,0.061248492714238933,0.06152761795489248,0.06326143880007185,0.0,0.0002791252406535438,0.002012946085832912
448.0,2.767857142857143,0.059267257099751,0.06052415346979556,0.060732293059679865,0.0,0.001256896370044558,0.001465035959928862
452.0,2.743362831858407,0.05875681449629355,0.05928525669756257,0.059504708358370184,0.0,0.0005284422012690193,0.0007478938620766318
456.0,2.719298245614035,0.0577514492200335,0.05804195284444447,0.05945219021437875,0.0,0.0002905036244109649,0.0017007409943452512
460.0,2.6956521739130435,0.055948839598910505,0.056766746491248465,0.05847859290494517,0.0,0.0008179068923379607,0.0025297533060346655
464.0,2.6724137931034484,0.05525607232183605,0.0555471768837279,0.05733581357873474,0.0,0.00029110456189185285,0.002079741256898693
468.0,2.6495726495726495,0.05413701610772703,0.05378266095541884,0.05463151994600546,0.0,-0.0003543551523081945,0.0004945038382784261
472.0,2.6271186440677967,0.05242627948361234,0.053450113532384824,0.05410183564596238,0.0,0.0010238340487724873,0.0016755561623500448
476.0,2.6050420168067228,0.05253501913821257,0.05337135005681071,0.05484367180137917,0.0,0.0008363309185981382,0.0023086526631665993
480.0,2.5833333333333335,0.05248759558853111,0.05371977318492105,0.05537965249892762,0.0,0.0012321775963899384,0.002892056910396512
484.0,2.56198347107438,0.05201170249981635,0.052587786572900086,0.05402537016884601,0.0,0.000576084073083738,0.0020136676690296618
488.0,2.540983606557377,0.05074361624509294,0.0521076818393611,0.05374973455319432,0.0,0.00136406559426816,0.00300611830810138
492.0,2.5203252032520327,0.05160002590449997,0.05154534237541086,0.05305772726854152,0.0,-5.4683529089105676e-05,0.0014577013640415526
496.0,2.5,0.050450706443349036,0.0511866836288033,0.0524509931603272,0.0,0.0007359771854542618,0.0020002867169781613
500.0,2.48,0.05099863797329207,0.051132650462931695,0.05293722579848881,0.0,0.0001340124896396233,0.001938587825196736
